Compound Name,IUPAC,Inchi,SMILES,CAS Number,DTXSID,Project ID (RISK-HUNT3R),Project ID (ONTOX),Project ID (PrecisionTox),Used in RISK-HUNT3R,Used in ONTOX,Used in PrecisionTox,Liver case-study (ONTOX),Kidney case-study (ONTOX),Developping Brain case-study (ONTOX),Included Cholestasis selection (Sept2022ONTOX),Included Steatosis selection (Sept2022ONTOX),Included Crystalopathy selection (Sept2022ONTOX),Included Tubular Necrosis selection (Sept2022ONTOX),Included CFD selection (Sept2022ONTOX),Included NTC selection (Sept2022ONTOX),Compound updated
3-[4-[(3-phenoxyphenyl)methylamino]phenyl]propanoic acid,3-[4-[(3-phenoxyphenyl)methylamino]phenyl]propanoic acid,"InChI=1S/C22H21NO3/c24-22(25)14-11-17-9-12-19(13-10-17)23-16-18-5-4-8-21(15-18)26-20-6-2-1-3-7-20/h1-10,12-13,15,23H,11,14,16H2,(H,24,25)",C1=CC=C(C=C1)OC2=CC=CC(=C2)CNC3=CC=C(C=C3)CCC(=O)O,885101-89-3,DTXSID70237088,RH0342,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
3-[4-[2-(2-methylphenyl)ethynyl]phenyl]propanoic acid,3-[4-[2-(2-methylphenyl)ethynyl]phenyl]propanoic acid,"InChI=1S/C18H16O2/c1-14-4-2-3-5-17(14)12-10-15-6-8-16(9-7-15)11-13-18(19)20/h2-9H,11,13H2,1H3,(H,19,20)",CC1=CC=CC=C1C#CC2=CC=C(C=C2)CCC(=O)O,1082058-99-8,DTXSID00648885,RH0363,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
3-Aminobenzamide,3-aminobenzamide,"InChI=1S/C7H8N2O/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,8H2,(H2,9,10)",C1=CC(=CC(=C1)N)C(=O)N,3544-24-9,DTXSID90188922,RH0119,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"3-Benzyl-7-(2-Oxazolyl)Thio-1,2,3-Triazolo[4,5-D]Pyrimidine","2-(3-benzyltriazolo[4,5-d]pyrimidin-7-yl)sulfanyl-1,3-oxazole","InChI=1S/C14H10N6OS/c1-2-4-10(5-3-1)8-20-12-11(18-19-20)13(17-9-16-12)22-14-15-6-7-21-14/h1-7,9H,8H2",c1ccc(cc1)Cn2c3c(c(ncn3)Sc4ncco4)nn2,869853-70-3,,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
3-chloro-7-diethoxyphosphinothioyloxy-4-methylchromen-2-one,3-chloro-7-diethoxyphosphinothioyloxy-4-methylchromen-2-one,"InChI=1S/C14H16ClO5PS/c1-4-17-21(22,18-5-2)20-10-6-7-11-9(3)13(15)14(16)19-12(11)8-10/h6-8H,4-5H2,1-3H3",CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,56-72-4,DTXSID2020347,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
"3-ethyl-3-methylpyrrolidine-2,5-dione","3-ethyl-3-methylpyrrolidine-2,5-dione","InChI=1S/C7H11NO2/c1-3-7(2)4-5(9)8-6(7)10/h3-4H2,1-2H3,(H,8,9,10)",CCC1(CC(=O)NC1=O)C,77-67-8,DTXSID7023019,RH0248,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"3-hexoxy-4-(1-methyl-3,6-dihydro-2H-pyridin-5-yl)-1,2,5-thiadiazole","3-hexoxy-4-(1-methyl-3,6-dihydro-2H-pyridin-5-yl)-1,2,5-thiadiazole","InChI=1S/C14H23N3OS/c1-3-4-5-6-10-18-14-13(15-19-16-14)12-8-7-9-17(2)11-12/h8H,3-7,9-11H2,1-2H3",CCCCCCOC1=NSN=C1C2=CCCN(C2)C,131986-45-3,DTXSID60157286,RH0281,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
3-isothiocyanatoprop-1-ene,3-isothiocyanatoprop-1-ene,"InChI=1S/C4H5NS/c1-2-3-5-4-6/h2H,1,3H2",C=CCN=C=S,57-06-7,DTXSID3020047,RH0189,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene","3-methyl-1,2-dihydrobenzo[j]aceanthrylene","InChI=1S/C21H16/c1-13-6-7-15-12-20-17-5-3-2-4-14(17)8-9-18(20)19-11-10-16(13)21(15)19/h2-9,12H,10-11H2,1H3",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,56-49-5,DTXSID0020862,RH0317,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"3,5-Diethoxycarbonyl-1,4-dihydrocollidine","diethyl 2,4,6-trimethyl-1,4-dihydropyridine-3,5-dicarboxylate","InChI=1S/C14H21NO4/c1-6-18-13(16)11-8(3)12(14(17)19-7-2)10(5)15-9(11)4/h8,15H,6-7H2,1-5H3",CCOC(=O)C1=C(NC(=C(C1C)C(=O)OCC)C)C,632-93-9,DTXSID6060898,,CMS-299623,,FALSE,TRUE,FALSE,,,,,no,no,no,no,no,Jan/22
"3,5-dimethyladamantan-1-amine","3,5-dimethyladamantan-1-amine","InChI=1S/C12H21N/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10/h9H,3-8,13H2,1-2H3",CC12CC3CC(C1)(CC(C3)(C2)N)C,###############################################################################################################################################################################################################################################################,DTXSID5045174,RH0361,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"3,5,6-TRICHLORO-2-PYRIDINOL","3,5,6-trichloro-1H-pyridin-2-one","InChI=1S/C5H2Cl3NO/c6-2-1-3(7)5(10)9-4(2)8/h1H,(H,9,10)",c1c(c(nc(c1Cl)Cl)O)Cl,6515-38-4,DTXSID7038317,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
"3,7-dimethyloct-6-en-1-ol","3,7-dimethyloct-6-en-1-ol","InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3",CC(CCC=C(C)C)CCO,106-22-9,DTXSID3026726,RH0201,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
3'-hydroxygenistein,"3-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one","InChI=1S/C15H10O6/c16-8-4-12(19)14-13(5-8)21-6-9(15(14)20)7-1-2-10(17)11(18)3-7/h1-6,16-19H",C1=CC(=C(C=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O)O,480-23-9,DTXSID20197380,RH0409,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-(2-aminoethyl)phenol,4-(2-aminoethyl)phenol,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2",C1=CC(=CC=C1CCN)O,51-67-2,DTXSID2043874,RH0179,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-(2,4-dichlorophenoxy)butanoic acid","4-(2,4-dichlorophenoxy)butanoic acid","InChI=1S/C10H10Cl2O3/c11-7-3-4-9(8(12)6-7)15-5-1-2-10(13)14/h3-4,6H,1-2,5H2,(H,13,14)",OC(=O)CCCOc1ccc(Cl)cc1Cl,94-82-6,DTXSID7024035,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
4-(4-Chlorophenyl)-1-[4-(4-fluorophenyl)-4-oxobutyl]-pyridinium (HPP+),4-[4-(4-chlorophenyl)pyridin-1-ium-1-yl]-1-(4-fluorophenyl)butan-1-one,"InChI=1S/C21H18ClFNO/c22-19-7-3-16(4-8-19)17-11-14-24(15-12-17)13-1-2-21(25)18-5-9-20(23)10-6-18/h3-12,14-15H,1-2,13H2/q+1",C1=CC(=CC=C1C2=CC=[N+](C=C2)CCCC(=O)C3=CC=C(C=C3)F)Cl,125785-69-5,DTXSID00154895,RH0424,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[(1,3-dimethylimidazol-1-ium-2-yl)diazenyl]-N,N-dimethylaniline;chloride","4-[(1,3-dimethylimidazol-1-ium-2-yl)diazenyl]-N,N-dimethylaniline;chloride","InChI=1S/C13H18N5.ClH/c1-16(2)12-7-5-11(6-8-12)14-15-13-17(3)9-10-18(13)4;/h5-10H,1-4H3;1H/q+1;/p-1",CN1C=C[N+](=C1N=NC2=CC=C(C=C2)N(C)C)C.[Cl-],77061-58-6,DTXSID80874049,,CMS-59879,,FALSE,TRUE,FALSE,Cholestasis / Steatosis,,,no,no,no,no,no,no,Jan/22
"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol","4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol","InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1",C1=CC(=C(C=C1[C@H](CN)O)O)O,51-41-2,DTXSID5023378,RH0293,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol","4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol","InChI=1S/C18H18O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h3-12,19-20H,1-2H3/b17-3+,18-4+",C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O,84-17-3,DTXSID7022382,RH0388,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[(2S)-2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione","4-[(2S)-2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione","InChI=1S/C11H16N4O4/c1-7(15-5-10(18)13-11(19)6-15)2-14-3-8(16)12-9(17)4-14/h7H,2-6H2,1H3,(H,12,16,17)(H,13,18,19)/t7-/m0/s1",C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,###############################################################################################################################################################################################################################################################,DTXSID3040647,RH0173,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[(4-aminophenyl)-(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]aniline;hydrochloride","4-[(4-aminophenyl)-(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]aniline;hydrochloride","InChI=1S/C19H17N3.ClH/c20-16-7-1-13(2-8-16)19(14-3-9-17(21)10-4-14)15-5-11-18(22)12-6-15;/h1-12,20H,21-22H2;1H",[H+].[Cl-].Nc1ccc(cc1)C(c2ccc(N)cc2)=C3C=CC(=N)C=C3,569-61-9,DTXSID1021247,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
"4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile","4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile","InChI=1S/C17H11N5/c18-9-13-1-5-15(6-2-13)17(22-12-20-11-21-22)16-7-3-14(10-19)4-8-16/h1-8,11-12,17H",C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,112809-51-5,DTXSID4023202,RH0371,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-[(4-fluoro-2-methyl-1H-indol-5-yl)oxy]-6-methoxy-7-(3-pyrrolidin-1-ylpropoxy)quinazoline,4-[(4-fluoro-2-methyl-1H-indol-5-yl)oxy]-6-methoxy-7-(3-pyrrolidin-1-ylpropoxy)quinazoline,"InChI=1S/C25H27FN4O3/c1-16-12-17-19(29-16)6-7-21(24(17)26)33-25-18-13-22(31-2)23(14-20(18)27-15-28-25)32-11-5-10-30-8-3-4-9-30/h6-7,12-15,29H,3-5,8-11H2,1-2H3",CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,288383-20-0,DTXSID10183035,RH0160,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[(E)-2-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)prop-1-enyl]benzoic acid","4-[(E)-2-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)prop-1-enyl]benzoic acid","InChI=1S/C24H28O2/c1-16(14-17-6-8-18(9-7-17)22(25)26)19-10-11-20-21(15-19)24(4,5)13-12-23(20,2)3/h6-11,14-15H,12-13H2,1-5H3,(H,25,26)/b16-14+",C/C(=C\C1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)C(CCC3(C)C)(C)C,71441-28-6,DTXSID6040743,RH0215,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-[[2-butyl-5-[(E)-2-carboxy-3-thiophen-2-ylprop-1-enyl]imidazol-1-yl]methyl]benzoic acid,4-[[2-butyl-5-[(E)-2-carboxy-3-thiophen-2-ylprop-1-enyl]imidazol-1-yl]methyl]benzoic acid,"InChI=1S/C23H24N2O4S/c1-2-3-6-21-24-14-19(12-18(23(28)29)13-20-5-4-11-30-20)25(21)15-16-7-9-17(10-8-16)22(26)27/h4-5,7-12,14H,2-3,6,13,15H2,1H3,(H,26,27)(H,28,29)/b18-12+",CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)/C=C(\CC3=CC=CS3)/C(=O)O,133040-01-4,DTXSID0022989,RH0321,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[[9-chloro-7-(2-fluoro-6-methoxyphenyl)-5H-pyrimido[5,4-d][2]benzazepin-2-yl]amino]-2-methoxybenzoic acid","4-[[9-chloro-7-(2-fluoro-6-methoxyphenyl)-5H-pyrimido[5,4-d][2]benzazepin-2-yl]amino]-2-methoxybenzoic acid","InChI=1S/C27H20ClFN4O4/c1-36-21-5-3-4-20(29)23(21)25-19-10-15(28)6-8-17(19)24-14(12-30-25)13-31-27(33-24)32-16-7-9-18(26(34)35)22(11-16)37-2/h3-11,13H,12H2,1-2H3,(H,34,35)(H,31,32,33)",COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,1028486-01-2,DTXSID30145539,RH0264,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[2-(4-amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-[[(3S)-piperidin-3-yl]methoxy]imidazo[4,5-c]pyridin-4-yl]-2-methylbut-3-yn-2-ol","4-[2-(4-amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-[[(3S)-piperidin-3-yl]methoxy]imidazo[4,5-c]pyridin-4-yl]-2-methylbut-3-yn-2-ol","InChI=1S/C21H27N7O3/c1-4-28-18-15(30-12-13-6-5-9-23-10-13)11-24-14(7-8-21(2,3)29)16(18)25-20(28)17-19(22)27-31-26-17/h11,13,23,29H,4-6,9-10,12H2,1-3H3,(H2,22,27)/t13-/m0/s1",CCN1C2=C(C(=NC=C2OC[C@H]3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N,937174-76-0,DTXSID60239551,RH0313,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-[2-(4-benzylpiperidin-1-yl)-1-hydroxypropyl]phenol,4-[2-(4-benzylpiperidin-1-yl)-1-hydroxypropyl]phenol,"InChI=1S/C21H27NO2/c1-16(21(24)19-7-9-20(23)10-8-19)22-13-11-18(12-14-22)15-17-5-3-2-4-6-17/h2-10,16,18,21,23-24H,11-15H2,1H3",CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,23210-56-2,DTXSID2045656,RH0359,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[2-[4-(4-hydroxyphenyl)butan-2-ylamino]ethyl]benzene-1,2-diol","4-[2-[4-(4-hydroxyphenyl)butan-2-ylamino]ethyl]benzene-1,2-diol","InChI=1S/C18H23NO3/c1-13(2-3-14-4-7-16(20)8-5-14)19-11-10-15-6-9-17(21)18(22)12-15/h4-9,12-13,19-22H,2-3,10-11H2,1H3",CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,###############################################################################################################################################################################################################################################################,DTXSID3022958,RH0304,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-[4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol","4-[4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol","InChI=1S/C18H22O4/c1-11(7-13-3-5-15(19)17(21)9-13)12(2)8-14-4-6-16(20)18(22)10-14/h3-6,9-12,19-22H,7-8H2,1-2H3",CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,500-38-9,DTXSID5022437,RH0309,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-[4-(4-fluorophenyl)-5-pyridin-4-yl-1H-imidazol-2-yl]phenol,4-[4-(4-fluorophenyl)-5-pyridin-4-yl-1H-imidazol-2-yl]phenol,"InChI=1S/C20H14FN3O/c21-16-5-1-13(2-6-16)18-19(14-9-11-22-12-10-14)24-20(23-18)15-3-7-17(25)8-4-15/h1-12,25H,(H,23,24)",C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,152121-30-7,DTXSID7041120,RH0141,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-Amino-2-hydroxytoluene,5-amino-2-methylphenol,"InChI=1S/C7H9NO/c1-5-2-3-6(8)4-7(5)9/h2-4,9H,8H2,1H3",CC1=C(C=CC(=C1)N)O,2835-95-2,DTXSID9024489,RH0012,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-amino-5-chloro-N-[(3S,4R)-1-[3-(4-fluorophenoxy)propyl]-3-methoxypiperidin-4-yl]-2-methoxybenzamide","4-amino-5-chloro-N-[(3S,4R)-1-[3-(4-fluorophenoxy)propyl]-3-methoxypiperidin-4-yl]-2-methoxybenzamide","InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)/t20-,22+/m1/s1",CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,81098-60-4,DTXSID3022825,RH0162,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-amino-N-(2-phenylpyrazol-3-yl)benzenesulfonamide,4-amino-N-(2-phenylpyrazol-3-yl)benzenesulfonamide,"InChI=1S/C15H14N4O2S/c16-12-6-8-14(9-7-12)22(20,21)18-15-10-11-17-19(15)13-4-2-1-3-5-13/h1-11,18H,16H2",C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N,0526-08-09,DTXSID2044131,RH0378,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-aminophenol,4-aminophenol,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2",C1=CC(=CC=C1N)O,123-30-8,DTXSID3024499,,CMS-3868,,FALSE,TRUE,FALSE,,not specified,,no,no,no,no,no,no,Jan/22
"4-butyl-1,2-diphenylpyrazolidine-3,5-dione","4-butyl-1,2-diphenylpyrazolidine-3,5-dione","InChI=1S/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3",CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,50-33-9,DTXSID9021136,RH0217,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-Butyrolactone,oxolan-2-one,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,O=C1CCCO1,96-48-0,DTXSID6020224,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
4-carboxybutyl(triphenyl)phosphanium;bromide,4-carboxybutyl(triphenyl)phosphanium;bromide,"InChI=1S/C23H23O2P.BrH/c24-23(25)18-10-11-19-26(20-12-4-1-5-13-20,21-14-6-2-7-15-21)22-16-8-3-9-17-22;/h1-9,12-17H,10-11,18-19H2;1H",C1=CC=C(C=C1)[P+](CCCCC(=O)O)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],17814-85-6,DTXSID6057669,RH0246,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-Hydroxy tolbutamide,1-butyl-3-[4-(hydroxymethyl)phenyl]sulfonylurea,"InChI=1S/C12H18N2O4S/c1-2-3-8-13-12(16)14-19(17,18)11-6-4-10(9-15)5-7-11/h4-7,15H,2-3,8-9H2,1H3,(H2,13,14,16)",CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)CO,5719-85-7,DTXSID30205824,RH0421,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-hydroxy-2-methyl-N-(5-methyl-1,3-thiazol-2-yl)-1,1-dioxo-1λ6,2-benzothiazine-3-carboxamide","4-hydroxy-2-methyl-N-(5-methyl-1,3-thiazol-2-yl)-1,1-dioxo-1λ6,2-benzothiazine-3-carboxamide","InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,18H,1-2H3,(H,15,16,19)",CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,71125-38-7,DTXSID1020803,RH0210,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-Hydroxy-2-quinolinecarboxylic acid,4-oxo-1H-quinoline-2-carboxylic acid,"InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)",C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,492-27-3,DTXSID8075417,RH0344,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-hydroxy-3,5-bis(3-methylbut-2-enyl)benzoic acid","4-hydroxy-3,5-bis(3-methylbut-2-enyl)benzoic acid","InChI=1S/C17H22O3/c1-11(2)5-7-13-9-15(17(19)20)10-14(16(13)18)8-6-12(3)4/h5-6,9-10,18H,7-8H2,1-4H3,(H,19,20)",CC(=CCC1=CC(=CC(=C1O)CC=C(C)C)C(=O)O)C,17622-86-5,,,,,FALSE,TRUE,FALSE,,,,no,no,no,no,no,no,Jan/22
4-hydroxymidazolam,"8-chloro-6-(2-fluorophenyl)-1-methyl-4H-imidazo[1,5-a][1,4]benzodiazepin-4-ol","InChI=1S/C18H13ClFN3O/c1-10-21-9-16-18(24)22-17(12-4-2-3-5-14(12)20)13-8-11(19)6-7-15(13)23(10)16/h2-9,18,24H,1H3",CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O)C4=CC=CC=C4F,59468-85-8,DTXSID20974870,RH0415,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-hydroxymidazolam glucoronide,"(2S,3S,4S,5R,6R)-6-[[8-chloro-6-(2-fluorophenyl)-4H-imidazo[1,5-a][1,4]benzodiazepin-1-yl]methoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","InChI=1S/C24H21ClFN3O7/c25-11-5-6-16-14(7-11)18(13-3-1-2-4-15(13)26)28-9-12-8-27-17(29(12)16)10-35-24-21(32)19(30)20(31)22(36-24)23(33)34/h1-8,19-22,24,30-32H,9-10H2,(H,33,34)/t19-,20-,21+,22-,24+/m0/s1",C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,81256-81-7,DTXSID301001880,RH0417,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4-ipommeanol,1-(furan-3-yl)-4-hydroxypentan-1-one,"InChI=1S/C9H12O3/c1-7(10)2-3-9(11)8-4-5-12-6-8/h4-7,10H,2-3H2,1H3",CC(CCC(=O)C1=COC=C1)O,32954-58-8,,RH0058,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
"4-N-(4-methylpentan-2-yl)-1-N-phenylbenzene-1,4-diamine","4-N-(4-methylpentan-2-yl)-1-N-phenylbenzene-1,4-diamine","InChI=1S/C18H24N2/c1-14(2)13-15(3)19-17-9-11-18(12-10-17)20-16-7-5-4-6-8-16/h4-12,14-15,19-20H,13H2,1-3H3",CC(C)CC(C)Nc1ccc(cc1)Nc2ccccc2,793-24-8,DTXSID9025114,,,,FALSE,FALSE,TRUE,,,,,,,,,,Jan/22
"4-N-[3-(3-methylimidazol-3-ium-1-yl)propyl]benzene-1,4-diamine;chloride;dihydrochloride","4-N-[3-(3-methylimidazol-3-ium-1-yl)propyl]benzene-1,4-diamine;chloride;dihydrochloride","InChI=1S/C13H19N4.3ClH/c1-16-9-10-17(11-16)8-2-7-15-13-5-3-12(14)4-6-13;;;/h3-6,9-11,15H,2,7-8,14H2,1H3;3*1H/q+1;;;/p-1",Cl.Cl.[Cl-].CN2C=C[N+](CCCNC1=CC=C(N)C=C1)=C2,220158-86-1,,,,,FALSE,TRUE,FALSE,,,,no,no,no,no,no,no,Jan/22
"4,4'-Methylenediphenol",4-[(4-hydroxyphenyl)methyl]phenol,"InChI=1S/C13H12O2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8,14-15H,9H2",C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,620-92-8,DTXSID9022445,,CMS-2345,,FALSE,TRUE,FALSE,,,,no,no,no,no,no,no,Jan/22
4'-hydroxy diclofenac,"2-[2-(2,6-dichloro-4-hydroxyanilino)phenyl]acetic acid","InChI=1S/C14H11Cl2NO3/c15-10-6-9(18)7-11(16)14(10)17-12-4-2-1-3-8(12)5-13(19)20/h1-4,6-7,17-18H,5H2,(H,19,20)",C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl,64118-84-9,DTXSID40214326,RH0413,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
4’-hydroxypropranolol,4-[2-hydroxy-3-(propan-2-ylamino)propoxy]naphthalen-1-ol;hydrochloride,"InChI=1S/C16H21NO3.ClH/c1-11(2)17-9-12(18)10-20-16-8-7-15(19)13-5-3-4-6-14(13)16;/h3-8,11-12,17-19H,9-10H2,1-2H3;1H",CC(C)NCC(COC1=CC=C(C2=CC=CC=C21)O)O.Cl,69233-16-5,DTXSID40388470,RH0410,,,TRUE,FALSE,FALSE,,,,,,,,,,Jan/22
